Username,Timestamp,location,device
Rivaldubey,2020-07-11 09:24:45+00:00,Jhansi ,Android
HBbishthimanshu,2020-07-11 09:24:46+00:00,"Jodhpur, India",Android
MarioM_777,2020-07-11 09:24:47+00:00,,Android
sabrina_holda,2020-07-11 09:24:47+00:00,"Kampala, Uganda",Android
DevonDoctorsLtd,2020-07-11 09:24:47+00:00,Devon,Mobile device
Harishmehra_,2020-07-11 09:24:47+00:00,Bharat ,Android
wadadamichael,2020-07-11 09:24:47+00:00,Mutungo,Android
AnonymousGnios,2020-07-11 09:24:47+00:00,,Android
citzgirl,2020-07-11 09:24:47+00:00,Glasgow ,Android
EdwardRayne,2020-07-11 09:24:47+00:00,"London, England",Mobile device
SonBalveer,2020-07-11 09:24:48+00:00,"Khandari, Agra",Android
HomelandAfrika,2020-07-11 09:24:48+00:00,"England, United Kingdom",iPhone
alt_oids2,2020-07-11 09:24:48+00:00,,iPhone
S71198734,2020-07-11 09:24:48+00:00,"Wisconsin, USA",iPad
djchina2,2020-07-11 09:24:49+00:00,"Bishop's Stortford, East",iPhone
shreyasmahajan1,2020-07-11 09:24:49+00:00,"Pune, Maharashtra,India",Android
FinancialXpress,2020-07-11 09:24:50+00:00,"New Delhi, India",Mobile device
smallpencilclub,2020-07-11 09:24:50+00:00,inthahood ,Mobile device
pandemic_de,2020-07-11 09:24:51+00:00,,iPhone
dphapkmndbzyugi,2020-07-11 09:24:51+00:00,"New York, NY",Instagram
garrryyyyyyyy,2020-07-11 09:24:51+00:00,,Android
SudduThakur,2020-07-11 09:24:52+00:00,India,Android
VikyThapa,2020-07-11 09:24:52+00:00,"New Delhi, India",Android
ansonchenn,2020-07-11 09:24:52+00:00,,iPhone
Truth_spreader,2020-07-11 09:24:52+00:00,waiting for justice,iPhone
m0antefaIco,2020-07-11 09:24:53+00:00,🌷,Android
BarneyGimble,2020-07-11 09:24:55+00:00,Great Pacific garbage patch,Mobile device
unclejohntyler,2020-07-11 09:24:56+00:00,"West Hollywood, CA",iPhone
CarlaSpade,2020-07-11 09:24:56+00:00,,Mobile device
Lollylulubes,2020-07-11 09:24:56+00:00,UK,iPad
hcg_ahmedabad,2020-07-11 09:24:57+00:00,http://hcghospitals.blogspot.i,Mobile device
Kazfoxy,2020-07-11 09:24:57+00:00,United Kingdom,iPhone
ChandradeepPan5,2020-07-11 09:24:57+00:00,"Patna, India",Android
